id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,"euphoric,uplifting,driving"
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020s,"mellow,late-night,cozy"
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010s,"aggressive,powerful,raw"
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020s,"peaceful,ambient,rainy"
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,"motivational,powerful,driving"
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,42,2010s,"dreamy,spacey,ethereal"
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,55,2010s,"warm,nostalgic,cozy"
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,68,2020s,"retro,atmospheric,cinematic"
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,61,2020s,"productive,calm,studious"
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,70,2020s,"uplifting,breezy,feel-good"
11,Sunday Morning Tea,The Velvet Mugs,jazz,relaxed,0.30,85,0.72,0.45,0.91,48,2010s,"warm,gentle,morning"
12,Downtown Bounce,Max Pulse,hip-hop,happy,0.88,105,0.80,0.90,0.08,82,2020s,"groovy,energetic,party"
13,Echoes of Tomorrow,Orbit Bloom,ambient,moody,0.32,65,0.55,0.38,0.94,39,2020s,"spacey,introspective,ethereal"
14,Red Line Express,Voltline,rock,intense,0.89,148,0.45,0.68,0.12,67,2020s,"aggressive,adrenaline,raw"
15,Pixel Dreams,Neon Echo,synthwave,happy,0.78,115,0.76,0.75,0.20,73,2020s,"retro,uplifting,nostalgic"
16,Rainy Page Turner,Paper Lanterns,lofi,chill,0.33,70,0.58,0.55,0.88,52,2020s,"peaceful,cozy,rainy"
17,Golden Hour,Indigo Parade,indie pop,relaxed,0.65,100,0.78,0.70,0.45,74,2020s,"warm,breezy,feel-good"
18,Bass Drop Central,Max Pulse,electronic,intense,0.95,140,0.60,0.85,0.03,80,2020s,"euphoric,driving,party"
